School Name,Address,Latitude,Longitude
Carleton University,"1125 Colonel By Drive Ottawa, ON K1S 5B6 CANADA",45.383532,-75.697517
Columbia University,"500 West 120th St., 200 S. W. Mudd, MC 4701 New York, NY 10027",40.813891,-73.962433
CSU Ohio,"2121 Euclid Avenue Cleveland, OH 44115",41.50255,-81.675337
Duke University Medical Center,"2424 Erwin Road (Hock Plaza), Suite 101 Durham, NC 27705",36.025609,-78.985381
East Carolina University,"Mailstop #563 Greenville, NC 27858",35.612661,-77.366354
Florida Atlantic,"777 Glades Road Boca Raton, FL 33431",26.371892,-80.104102
Georgia Institute of Technology,"770 State Street, RM-3-39S Atlanta, GA 30332-0745",33.775241,-84.399891
Louisiana State University,"202 Nicholson Hall Baton Rouge, LA 70803-4001",30.493849,-91.068715
McGill University,"1650 Avenue Des Cedres Montreal, PQ H3G 1A4, Canada",45.570891,-73.56259
Oklahoma State University,"145 Physical Sciences II Stillwater, OK 74074",36.124085,-97.070284
Oregon State University,"116 Radiation Center Corvallis, OR 97331",44.565153,-123.289051
Purdue University,"535 Barnhill Drive, RT041 Indianapolis, Indiana 46202",39.779477,-86.170089
Ryerson University,350 Victoria St. Toronto ON Canada M5B 2K3,43.657877,-79.380456
San Diego State University,"5500 Campanile Drive San Diego, CA 92182",32.771969,-117.072702
Seoul National University,28 Yeongon-dong Jongno-gu Seoul,37.579443,126.999025
SUNY Stony Brook University,"HSC L-4 RM 092 Stony Brook, NY 11794",40.90773,-73.113569
University at Buffalo (SUNY),"3435 Main Street Toshiba Stroke Res Center Buffalo, NY 14214",42.933487,-78.843927
University of Alberta,"11560 University Avenue Edmonton, T6G 1Z2, Canada",53.518121,-113.531003
University of Arizona,"1501 N Campbell Ave Tucson, AZ 85724",32.240799,-110.946165
University of British Columbia,"6224 Agricultural Road Vancouver, BC V6T 1Z1, Canada",49.266272,-123.253744
University of Calgary,"Tom Baker Cancer Centre 1331 - 29 Street NW Calgary, AB T2N 4N2",51.06302,-114.133538
University of California - Los Angeles,"10833 LeConte Avenue, B2-049F CHS Los Angeles, CA 90095-6948",34.070264,-118.444056
Univeristy of Cincinatti,"234 Goodman St. ML 0757 Cincinnati, Ohio 45267-0757",39.132922,-84.51495
University of Chicago,"5841 S. Maryland Ave. Chicago, IL 60637",41.788313,-87.604566
University of Florida,"202 Nuclear Science Building Gainesville, FL 32611-8300",29.613024,-82.371937
University of Kentucky,"900 South Limestone Street Lexington, KY 40536-0200",38.032143,-84.50897
Universite Laval,"2325, rue de l'Universit? Qu?bec (Qu?bec) G1V 0A6 Canada",46.779249,-71.26968
University of Manitoba,"675 McDermot Avenue Winnipeg, MB R3E 0V9, Canada",49.903061,-97.158321
University of Massachusetts Lowell,"One University Avenue Lowell, MA 01854",42.646028,-71.364624
University of Miami,"1251 Memorial Drive Coral Gables, FL 33146",25.721475,-80.279266
University of Minnesota,"420 Delaware St SE Minneapolis, MN 55455",44.972171,-93.233161
University of Missouri,"One Hospital Drive Columbia, MO 65212",38.93763,-92.327083
University of Nevada Las Vegas,"4505 Maryland Parkway Box 453037 Las Vegas, NV 89154",36.145164,-115.138149
University of New Mexico,"1 University of New Mexico Albuquerque, NM 87131-0001",35.084987,-106.625061
University of Oklahoma,"940 NE 13th Street, Suite 4G 4250 Oklahoma City, OK 73104-5008",35.48231,-97.501121
University of Pennsylvania,"209 S. 33rd Street Philadelphia, PA 19104-6396",39.951894,-75.189939
University of Texas - Houston,"1400 Pressler St. Unit 1472 Houston, TX 77030",29.704908,-95.396901
University of Texas HSC - San Antonio,"7703 Floyd Curl Drive, Rm. 532E San Antonio, TX 78229-3900",29.506533,-98.574935
University of Toledo,"3000 Arlington Ave Toledo, OH 43614-2598",41.617878,-83.616321
University of Victoria,"2410 Lee Avenue Victoria, BC V8R 6V5 CANADA",48.434328,-123.326198
University of Wisconsin,"1111 Highland Ave Madison, WI 53705-2275",43.078074,-89.431627
Vanderbilt University,"1301 22nd Ave. South, TVC B-902 Nashville, TN 37232-5671",36.14264,-86.800107
Virginia Commonwealth University,401 College Street Richmond VA 23298-0058,37.53931,-77.428536
Wayne State University,"4100 John R. Street Detroit, MI 48201",42.352221,-83.057092
Western University,"University of Western Ontario London, Ontario N6A 5C1",43.008559,-81.263498
