School Name,Website,Campep Degrees,Year,Degree Type,Applicants,Offers,Matriculated,Graduated,Residency,Clinical,Advanced Degrees,Industry,Academic,Other,notes,Address,Latitude,Longitude
Carleton University,http://people.physics.carleton.ca/~drogers/CarletonU_some_statistics_July2013.pdf,PhD,2010,MSc,13,7,7,3,0,0,2,1,0,0,,"1125 Colonel By Drive Ottawa, ON K1S 5B6 CANADA",45.383532,-75.697517
Carleton University,,,2010,PhD,10,4,2,3,2,0,1,0,0,0,,,,
Carleton University,,,2011,MSc,18,9,5,2,0,0,0,1,0,1,,,,
Carleton University,,,2011,PhD,9,3,3,3,1,0,0,1,0,1,,,,
Carleton University,,,2012,MSc,18,4,4,6,0,2,2,0,0,2,,,,
Carleton University,,,2012,PhD,12,1,1,3,1,1,0,0,0,1,,,,
Columbia University,http://apam.columbia.edu/medical-physics-faq#anchor4,"MSc, Certificate",2009,MSc,79,36,14,13,2,8,2,0,0,1,,"500 West 120th St., 200 S. W. Mudd, MC 4701 New York, NY 10027",40.813891,-73.962433
Columbia University,,,2009,Certificate,2,2,2,2,0,2,0,0,0,0,,,,
Columbia University,,,2010,MSc,62,28,15,8,2,5,0,0,0,1,,,,
Columbia University,,,2010,Certificate,3,3,3,0,0,0,0,0,0,0,,,,
Columbia University,,,2011,MSc,53,25,12,7,0,4,0,0,0,3,,,,
Columbia University,,,2011,Certificate,1,1,1,0,0,0,0,0,0,0,,,,
Columbia University,,,2012,MSc,41,30,13,8,2,5,0,0,0,1,,,,
Columbia University,,,2012,Certificate,5,5,5,1,1,0,0,0,0,0,,,,
Columbia University,,,2013,MSc,34,22,9,9,1,4,0,1,0,3,,,,
Columbia University,,,2013,Certificate,5,5,2,1,1,0,0,0,0,0,,,,
Duke University Medical Center,http://medicalphysics.duke.edu/stats,"MSc, PhD",2007,MSc,51,32,15,13,0,10,3,0,0,0,Truncated to 2007,"2424 Erwin Road (Hock Plaza), Suite 101 Durham, NC 27705",36.025609,-78.985381
Duke University Medical Center,,,2007,PhD,101,12,7,0,0,0,0,0,0,0,,,,
Duke University Medical Center,,,2008,MSc,52,35,16,13,0,10,3,0,0,0,,,,
Duke University Medical Center,,,2008,PhD,83,11,8,0,0,0,0,0,0,0,,,,
Duke University Medical Center,,,2009,MSc,53,40,8,15,3,6,3,1,0,2,,,,
Duke University Medical Center,,,2009,PhD,114,8,5,1,0,1,0,0,0,0,,,,
Duke University Medical Center,,,2010,MSc,88,54,28,12,1,7,2,2,0,0,,,,
Duke University Medical Center,,,2010,PhD,96,6,4,6,0,3,0,1,2,0,,,,
Duke University Medical Center,,,2011,MSc,76,39,14,8,2,5,0,0,0,1,,,,
Duke University Medical Center,,,2011,PhD,90,8,4,4,3,0,0,1,0,0,,,,
Duke University Medical Center,,,2012,MSc,74,37,18,24,4,13,4,3,0,0,,,,
Duke University Medical Center,,,2012,PhD,116,10,6,2,1,0,0,0,1,0,,,,
Duke University Medical Center,,,2013,MSc,74,34,17,10,4,2,1,1,0,2,,,,
Duke University Medical Center,,,2013,PhD,69,9,6,4,3,0,0,1,0,0,,,,
East Carolina University,http://www.ecu.edu/cs-cas/physics/Facts-and-Figures-Graduate-Program.cfm,MSc,2009,MSc,41,18,7,8,3,4,0,0,0,1,,"Mailstop #563 Greenville, NC 27858",35.612661,-77.366354
East Carolina University,,,2010,MSc,45,24,7,9,1,1,3,0,1,3,,,,
East Carolina University,,,2011,MSc,41,23,6,10,3,4,2,0,0,1,,,,
East Carolina University,,,2012,MSc,32,13,6,11,2,1,4,0,1,3,,,,
East Carolina University,,,2013,MSc,32,25,6,6,1,0,1,0,0,4,,,,
East Carolina University,,,2014,MSc,12,11,1,4,1,0,1,0,1,1,,,,
Florida Atlantic,http://physics2.fau.edu/~msmp/MSMPStudents.pdf,MSc,2010,MSc,21,9,9,0,0,0,0,0,0,0,,"777 Glades Road Boca Raton, FL 33431",26.371892,-80.104102
Florida Atlantic,,,2011,MSc,23,13,7,1,0,0,1,0,0,0,,,,
Florida Atlantic,,,2012,MSc,10,2,5,2,0,1,0,1,0,0,,,,
Florida Atlantic,,,2013,MSc,6,5,1,3,0,1,2,0,0,0,,,,
Georgia Institute of Technology,http://www.mp.gatech.edu/about/accreditation,"MSc, PhD",2011,MSc,48,18,14,9,1,2,3,1,1,1,,"770 State Street, RM-3-39S Atlanta, GA 30332-0745",33.775241,-84.399891
Georgia Institute of Technology,,,2012,MSc,62,21,12,9,0,3,3,1,0,2,,,,
Georgia Institute of Technology,,,2013,MSc,58,27,13,15,0,3,2,3,0,7,,,,
Louisiana State University,http://www.phys.lsu.edu/newwebsite/graduate/medphys_recentstats.html,"MSc, PhD",2007,MSc,36,7,4,6,0,6,0,0,0,0,,"202 Nicholson Hall Baton Rouge, LA 70803-4001",30.493849,-91.068715
Louisiana State University,,,2007,PhD,2,1,1,0,0,0,0,0,0,0,,,,
